build_y,year,month,day,dong,price,apt_nm,size,jibun,ji_code,floor
2003,2018,1,1, 역삼동,"    80,000",세방하이빌1,59.77,771-4,11680,5
2003,2018,1,2, 역삼동,"   108,000",금호어울림,132.88,835-67,11680,14
2010,2018,1,2, 역삼동,"   180,000",래미안그레이튼(진달래2차),121.54,762-3,11680,18
2006,2018,1,2, 역삼동,"   151,000",역삼푸르지오,84.9097,754-1,11680,3
1997,2018,1,2, 역삼동,"    83,500",대림역삼,59.99,761-10,11680,6
2007,2018,1,3, 역삼동,"    89,000",쌍용플레티넘밸류,84.96,826-37,11680,7
1996,2018,1,3, 역삼동,"    35,000",한스빌(836),39.89,836,11680,6
2010,2018,1,3, 역삼동,"   165,000",래미안그레이튼(진달래2차),105.89,762-3,11680,21
2005,2018,1,3, 역삼동,"   127,800",역삼래미안,59.4,757,11680,5
2010,2018,1,3, 역삼동,"   124,000",래미안그레이튼(진달래2차),59.91,762-3,11680,9
2002,2018,1,3, 역삼동,"    53,000",역삼동하나빌,52.31,681-26,11680,12
2004,2018,1,4, 역삼동,"    62,000",브라운스톤역삼,59.96,747-5,11680,5
2009,2018,1,4, 역삼동,"   132,000",래미안그레이튼,70.98,763-16,11680,8
2003,2018,1,5, 역삼동,"    20,450",진넥스빌2,23.85,706-24,11680,11
1979,2018,1,5, 역삼동,"   172,000",개나리4,160.33,712,11680,11
2011,2018,1,5, 역삼동,"   153,000",래미안그레이튼(진달래2차),84.87,762-3,11680,13
1998,2018,1,5, 역삼동,"    89,500",동부센트레빌,59.82,716,11680,11
2004,2018,1,5, 역삼동,"    67,500",현대하이츠,111.96,775-15,11680,5
2010,2018,1,6, 역삼동,"   169,000",래미안그레이튼(진달래2차),120.37,762-3,11680,18
2009,2018,1,6, 역삼동,"   160,000",래미안그레이튼,84.97,763-16,11680,9
2011,2018,1,6, 역삼동,"   145,000",래미안그레이튼(진달래2차),84.87,762-3,11680,4
2012,2018,1,6, 역삼동,"    17,800",요진와이시티미니,12.1,727-9,11680,5
2006,2018,1,6, 역삼동,"   122,000",역삼푸르지오,59.8848,754-1,11680,3
2002,2018,1,6, 역삼동,"    50,000",트레벨,33.48,766-8,11680,4
2006,2018,1,6, 역삼동,"    63,000",역삼 I'PARK,28.246,713-11,11680,14
2007,2018,1,6, 역삼동,"    97,000",쌍용플레티넘밸류,84.9,826-37,11680,13
2012,2018,1,6, 역삼동,"   200,000",개나리SK뷰,127.27,716-3,11680,16
2008,2018,1,6, 역삼동,"   144,000",역삼2차아이파크,84.587,765-32,11680,14
2001,2018,1,7, 역삼동,"    31,800",한화진넥스빌,43.58,706-20,11680,12
2005,2018,1,7, 역삼동,"   125,000",역삼래미안,59.4,757,11680,22
2006,2018,1,8, 역삼동,"   153,000",역삼푸르지오,84.9097,754-1,11680,12
2006,2018,1,9, 역삼동,"    63,000",역삼 I'PARK,28.246,713-11,11680,11
2001,2018,1,9, 역삼동,"   167,000",현대까르띠에710,171.944,710,11680,9
2006,2018,1,9, 역삼동,"   130,000",개나리래미안,59.95,754,11680,13
2006,2018,1,9, 역삼동,"    64,000",역삼 I'PARK,28.246,713-11,11680,17
2006,2018,1,9, 역삼동,"   182,000",역삼 I'PARK,144.011,713-11,11680,15
2008,2018,1,9, 역삼동,"   119,000",역삼2차아이파크,59.946,765-32,11680,3
2008,2018,1,10, 역삼동,"   170,000",역삼2차아이파크,119.095,765-32,11680,12
2006,2018,1,10, 역삼동,"   125,000",역삼푸르지오,59.8848,754-1,11680,6
2006,2018,1,10, 역삼동,"   165,000",개나리 푸르지오,84.9876,755-1,11680,2
2007,2018,1,10, 역삼동,"   188,000",래미안펜타빌,158.58,713-7,11680,4
2017,2018,1,10, 역삼동,"    39,500",프리빌리지,22.76,723-16,11680,7
2006,2018,1,11, 역삼동,"    58,800",역삼 I'PARK,28.246,713-11,11680,2
2001,2018,1,11, 역삼동,"    31,700",한화진넥스빌,43.58,706-20,11680,6
2006,2018,1,11, 역삼동,"   180,000",역삼 I'PARK,144.641,713-11,11680,4
2006,2018,1,12, 역삼동,"    62,800",역삼 I'PARK,28.246,713-11,11680,12
2012,2018,1,12, 역삼동,"    21,300",요진와이시티미니,12.94,727-9,11680,6
2002,2018,1,13, 역삼동,"    90,000",경남아너스빌,81.013,722,11680,3
2006,2018,1,13, 역삼동,"   140,000",역삼푸르지오,84.9097,754-1,11680,1
2006,2018,1,13, 역삼동,"   156,000",역삼푸르지오,84.9097,754-1,11680,2
2002,2018,1,13, 역삼동,"    29,950",대우디오빌,30.03,720-25,11680,12
2006,2018,1,14, 역삼동,"   190,000",역삼 I'PARK,144.431,713-11,11680,7
2017,2018,1,14, 역삼동,"    38,900",프리빌리지,26.77,723-16,11680,7
2006,2018,1,15, 역삼동,"   190,000",역삼 I'PARK,144.011,713-11,11680,17
2001,2018,1,15, 역삼동,"    29,900",한화진넥스빌,39.2,706-20,11680,14
2005,2018,1,16, 역삼동,"   168,000",e-편한세상,84.991,755-4,11680,9
2007,2018,1,16, 역삼동,"   140,000",롯데캐슬노블,176.03,835-68,11680,11
2006,2018,1,16, 역삼동,"   175,000",개나리래미안,114.65,754,11680,4
2007,2018,1,16, 역삼동,"   145,000",롯데캐슬노블,176.03,835-68,11680,8
2005,2018,1,16, 역삼동,"   165,000",e-편한세상,84.991,755-4,11680,10
2003,2018,1,16, 역삼동,"    52,000",한양럭스,71.8,628-1,11680,6
2001,2018,1,17, 역삼동,"   165,000",현대까르띠에710,171.944,710,11680,6
2005,2018,1,17, 역삼동,"    87,000",역삼동프라임,125.11,664-21,11680,4
2004,2018,1,17, 역삼동,"    64,000",역삼이안애비,84.28,777-49,11680,3
2006,2018,1,17, 역삼동,"   193,500",역삼 I'PARK,144.011,713-11,11680,13
2003,2018,1,17, 역삼동,"    74,000",예지향,84.6,728-52,11680,3
1979,2018,1,18, 역삼동,"   175,000",개나리4,160.33,712,11680,1
2004,2018,1,18, 역삼동,"    96,500",명인갤러리2차,122.46,732-25,11680,12
2002,2018,1,18, 역삼동,"    50,000",역삼동하나빌,50.89,681-26,11680,14
2016,2018,1,19, 역삼동,"   160,000",역삼자이,84.4816,711-3,11680,15
2006,2018,1,19, 역삼동,"    60,000",조이너스,58.85,747-1,11680,7
2007,2018,1,19, 역삼동,"    89,750",쌍용플레티넘밸류,84.96,826-37,11680,12
2012,2018,1,19, 역삼동,"   193,000",개나리SK뷰,127.27,716-3,11680,2
2001,2018,1,20, 역삼동,"   157,000",현대까르띠에710,149.7,710,11680,5
2003,2018,1,20, 역삼동,"   100,000",금호어울림,84.95,835-67,11680,10
2003,2018,1,20, 역삼동,"    86,000",역삼르비앙1,152.58,835-12,11680,3
2011,2018,1,20, 역삼동,"   165,000",래미안그레이튼(진달래2차),84.87,762-3,11680,7
2012,2018,1,20, 역삼동,"   169,000",개나리SK뷰,84.98,716-3,11680,11
2009,2018,1,21, 역삼동,"   145,000",래미안그레이튼,70.98,763-16,11680,16
2007,2018,1,21, 역삼동,"   190,000",래미안펜타빌,157.37,713-7,11680,2
2004,2018,1,21, 역삼동,"    38,500",대우디오빌플러스,43.99,824-25,11680,5
2012,2018,1,22, 역삼동,"    62,500",강남서해더블루,70.57,796-29,11680,4
2006,2018,1,22, 역삼동,"   175,000",역삼 I'PARK,116.285,713-11,11680,12
2006,2018,1,22, 역삼동,"   185,000",역삼 I'PARK,116.285,713-11,11680,17
2005,2018,1,22, 역삼동,"   135,000",e-편한세상,59.947,755-4,11680,1
1996,2018,1,22, 역삼동,"    74,900",우성빌라트,129.72,797-12,11680,3
2002,2018,1,23, 역삼동,"    82,000",경남아너스빌,81.013,722,11680,17
2007,2018,1,23, 역삼동,"   195,000",래미안펜타빌,136.28,713-7,11680,12
2006,2018,1,23, 역삼동,"   182,000",역삼 I'PARK,116.285,713-11,11680,9
2006,2018,1,23, 역삼동,"    49,000",조이너스,50.28,747-1,11680,7
2012,2018,1,23, 역삼동,"    80,000",강남서해더블루,84.8,796-29,11680,9
2014,2018,1,23, 역삼동,"    19,000",(735-15),15.25,735-15,11680,11
2003,2018,1,24, 역삼동,"    59,400",노블스위트,82.35,747,11680,6
2005,2018,1,24, 역삼동,"   140,000",역삼래미안,59.53,757,11680,16
2004,2018,1,24, 역삼동,"    30,900",대우디오빌플러스,34.41,824-25,11680,10
2010,2018,1,24, 역삼동,"   175,000",래미안그레이튼(진달래2차),105.89,762-3,11680,6
2002,2018,1,24, 역삼동,"    29,800",대우디오빌,30.03,720-25,11680,16
2012,2018,1,25, 역삼동,"    21,300",요진와이시티미니,12.94,727-9,11680,5
2004,2018,1,26, 역삼동,"    70,000",정원,97.6,828-46,11680,3
1979,2018,1,26, 역삼동,"   349,800",개나리4,160.33,712,11680,7
2006,2018,1,26, 역삼동,"    66,000",역삼 I'PARK,28.246,713-11,11680,7
2007,2018,1,26, 역삼동,"   141,000",롯데캐슬노블,154.26,835-68,11680,11
2014,2018,1,26, 역삼동,"   140,000",테헤란아이파크,70.8333,709-5,11680,16
2002,2018,1,27, 역삼동,"    70,000",대우디오빌,84.986,720-25,11680,13
2009,2018,1,27, 역삼동,"   149,500",래미안그레이튼,70.98,763-16,11680,10
2005,2018,1,27, 역삼동,"    83,000",역삼우성,108.23,633-11,11680,3
2010,2018,1,27, 역삼동,"   180,000",래미안그레이튼(진달래2차),105.89,762-3,11680,32
2004,2018,1,27, 역삼동,"    32,000",대우디오빌플러스,34.41,824-25,11680,13
2005,2018,1,27, 역삼동,"   131,000",역삼래미안,59.53,757,11680,15
2016,2018,1,28, 역삼동,"   138,000",역삼자이,59.9977,711-3,11680,16
2015,2018,1,28, 역삼동,"    28,500",힐스테이트6,26.91,834-36,11680,3
2003,2018,1,28, 역삼동,"   100,000",금호어울림,84.95,835-67,11680,2
2005,2018,1,29, 역삼동,"   161,000",역삼래미안,80.87,757,11680,9
2006,2018,1,29, 역삼동,"    69,000",역삼 I'PARK,28.246,713-11,11680,14
2014,2018,1,29, 역삼동,"   155,000",테헤란아이파크,92.62,709-5,11680,15
2014,2018,1,29, 역삼동,"   138,000",테헤란아이파크,70.8333,709-5,11680,20
2012,2018,1,29, 역삼동,"    17,500",요진와이시티미니,12.1,727-9,11680,3
2002,2018,1,30, 역삼동,"    27,500",대우디오빌,30.03,720-25,11680,6
2006,2018,1,31, 역삼동,"   126,000",역삼푸르지오,59.8848,754-1,11680,9
1992,2018,1,31, 역삼동,"    79,500",은하수,66.24,759-1,11680,6
2006,2018,1,31, 역삼동,"   130,000",역삼푸르지오,59.8848,754-1,11680,6
1982,2018,1,2, 개포동,"   163,000",개포주공 1단지,50.38,141,11680,4
2004,2018,1,2, 개포동,"   162,000",개포자이(12-2),170.32,12-2,11680,16
1987,2018,1,3, 개포동,"   130,000",우성8,79.61,179,11680,7
1987,2018,1,3, 개포동,"   130,000",개포6차우성아파트1동~8동,79.97,658-1,11680,4
2003,2018,1,3, 개포동,"    65,000",에버그린,83.58,166-4,11680,4
2004,2018,1,4, 개포동,"    46,400",리치타운,68.64,1204-5,11680,2
1984,2018,1,4, 개포동,"   230,000",경남2차,182.2,649,11680,9
1984,2018,1,4, 개포동,"   205,000",현대1차101동~106동,177.19,653,11680,7
1982,2018,1,5, 개포동,"   176,000",개포주공 1단지,58.08,141,11680,3
1982,2018,1,5, 개포동,"   160,000",개포주공 1단지,50.64,141,11680,5
1984,2018,1,5, 개포동,"   136,000",시영,51.18,656,11680,2
1982,2018,1,6, 개포동,"   170,000",개포주공 1단지,58.08,141,11680,1
1992,2018,1,6, 개포동,"    80,800",성원대치2단지아파트,39.53,12,11680,15
1992,2018,1,6, 개포동,"    92,700",성원대치2단지아파트,49.86,12,11680,8
1986,2018,1,6, 개포동,"   210,000",현대2,165.08,654,11680,1
1987,2018,1,8, 개포동,"   117,000",개포6차우성아파트1동~8동,79.97,658-1,11680,2
1982,2018,1,8, 개포동,"   165,000",개포주공 1단지,50.64,141,11680,3
1992,2018,1,8, 개포동,"    96,000",삼익대청아파트,51.12,12,11680,7
1983,2018,1,8, 개포동,"   155,000",개포주공 5단지,74.25,187,11680,13
1986,2018,1,9, 개포동,"   195,000",현대2,165.08,654,11680,2
1983,2018,1,9, 개포동,"   155,000",개포주공 7단지,73.26,185,11680,5
1986,2018,1,9, 개포동,"   125,000",개포현대200동,82.2,655-1,11680,7
1983,2018,1,9, 개포동,"   125,000",개포주공 7단지,53.46,185,11680,1
1984,2018,1,10, 개포동,"   210,000",개포우성3차,161,652,11680,12
1983,2018,1,10, 개포동,"   157,000",개포주공 5단지,74.25,187,11680,9
1983,2018,1,10, 개포동,"   163,000",개포주공 7단지,83.7,185,11680,1
1986,2018,1,10, 개포동,"   194,500",현대2,131.83,654,11680,6
1992,2018,1,11, 개포동,"    91,000",성원대치2단지아파트,49.86,12,11680,5
1987,2018,1,11, 개포동,"   130,000",개포6차우성아파트1동~8동,79.97,658-1,11680,1
1986,2018,1,11, 개포동,"   200,000",현대2,165.08,654,11680,4
1984,2018,1,11, 개포동,"   140,000",시영,50.78,656,11680,2
1991,2018,1,12, 개포동,"   115,000","우성9차아파트 901동, 902동",81.42,651-1,11680,9
1986,2018,1,12, 개포동,"   185,000",현대2,131.83,654,11680,5
1982,2018,1,12, 개포동,"   140,000",개포주공 1단지,35.87,141,11680,4
1982,2018,1,13, 개포동,"   164,000",개포주공 1단지,50.64,141,11680,3
1992,2018,1,13, 개포동,"    83,000",삼익대청아파트,39.53,12,11680,12
1984,2018,1,13, 개포동,"   153,000",현대1차101동~106동,95.4,653,11680,5
1992,2018,1,13, 개포동,"    82,000",성원대치2단지아파트,39.53,12,11680,11
1982,2018,1,16, 개포동,"   165,000",개포주공 1단지,50.38,141,11680,1
1982,2018,1,16, 개포동,"   179,000",개포주공 1단지,58.08,141,11680,2
1983,2018,1,16, 개포동,"   158,000",개포주공 7단지,73.26,185,11680,5
1982,2018,1,17, 개포동,"   135,000",개포주공 1단지,35.87,141,11680,5
1983,2018,1,17, 개포동,"   129,000",개포주공 6단지,53.06,185,11680,4
1991,2018,1,17, 개포동,"   130,000","우성9차아파트 901동, 902동",84.9,651-1,11680,11
1983,2018,1,17, 개포동,"   140,000",개포주공 5단지,61.19,187,11680,4
1983,2018,1,17, 개포동,"   135,400",개포주공 6단지,60.13,185,11680,1
1986,2018,1,18, 개포동,"   195,000",현대2,131.83,654,11680,4
