build_y,year,month,day,size,floor,Room,Bathroom,price
1979,2018,1,3,76.79,1,3,1,"   145,000"
1979,2018,1,5,76.79,7,3,1,"   153,000"
1979,2018,1,8,76.79,7,3,1,"   152,000"
1979,2018,1,8,76.79,3,3,1,"   153,000"
1980,2018,1,10,76.79,8,3,1,"   160,000"
1980,2018,1,10,76.79,2,3,1,"   150,000"
1980,2018,1,11,76.79,1,3,1,"   146,000"
1979,2018,1,11,76.79,9,3,1,"   157,000"
1980,2018,1,12,76.79,7,3,1,"   156,000"
1979,2018,1,13,76.79,13,3,1,"   156,000"
1979,2018,1,15,76.79,10,3,1,"   158,000"
1980,2018,1,18,76.79,12,3,1,"   160,000"
1979,2018,1,18,76.79,6,3,1,"   160,000"
1979,2018,1,23,76.79,12,3,1,"   160,000"
1980,2018,1,26,76.79,10,3,1,"   161,000"
1979,2018,1,26,76.79,14,3,1,"   160,000"
1979,2018,1,27,76.79,7,3,1,"   161,000"
1979,2018,1,29,76.79,1,3,1,"   155,000"
1979,2018,2,2,76.79,2,3,1,"   157,000"
1980,2018,2,7,76.79,9,3,1,"   156,000"
1979,2018,2,8,76.79,6,3,1,"   155,500"
1979,2018,2,9,76.79,12,3,1,"   155,000"
1979,2018,3,1,76.79,9,3,1,"   158,500"
1979,2018,3,5,76.79,3,3,1,"   150,000"
1979,2018,3,9,76.79,5,3,1,"   151,000"
1979,2018,3,10,76.79,4,3,1,"   155,000"
1979,2018,3,21,76.79,13,3,1,"   152,000"
1980,2018,3,21,76.79,6,3,1,"   155,500"
1980,2018,5,12,76.79,2,3,1,"   145,000"
1979,2018,5,12,76.79,7,3,1,"   151,000"
1980,2018,5,13,76.79,8,3,1,"   145,500"
1979,2018,5,22,76.79,9,3,1,"   147,000"
1980,2018,5,31,76.79,10,3,1,"   150,000"
1979,2018,6,11,76.79,4,3,1,"   148,000"
1979,2018,6,16,76.79,4,3,1,"   148,000"
1979,2018,6,19,76.79,14,3,1,"   150,500"
1979,2018,6,20,76.79,6,3,1,"   148,000"
1979,2018,6,26,76.79,3,3,1,"   149,000"
1980,2018,6,26,76.79,8,3,1,"   147,000"
1979,2018,6,27,76.79,6,3,1,"   147,500"
1979,2018,7,2,76.79,4,3,1,"   149,000"
1980,2018,7,3,76.79,2,3,1,"   147,500"
1979,2018,7,4,76.79,3,3,1,"   148,000"
1980,2018,7,7,76.79,14,3,1,"   151,000"
1979,2018,7,9,76.79,8,3,1,"   154,000"
1979,2018,7,9,76.79,4,3,1,"   151,000"
1980,2018,7,12,76.79,4,3,1,"   152,000"
1979,2018,7,13,76.79,2,3,1,"   149,000"
1979,2018,7,14,76.79,1,3,1,"   150,000"
1979,2018,7,16,76.79,13,3,1,"   154,500"
1979,2018,7,20,76.79,8,3,1,"   163,000"
1979,2018,7,24,76.79,5,3,1,"   164,500"
1979,2018,7,28,76.79,2,3,1,"   162,500"
1979,2018,7,31,76.79,3,3,1,"   165,000"
1979,2018,8,6,76.79,4,3,1,"   167,300"
1980,2018,8,11,76.79,14,3,1,"   167,000"
1979,2018,8,17,76.79,9,3,1,"   169,800"
1979,2018,8,20,76.79,8,3,1,"   168,000"
1979,2018,8,21,76.79,6,3,1,"   170,500"
1980,2018,8,22,76.79,11,3,1,"   172,000"
1980,2018,8,23,76.79,2,3,1,"   165,500"
1979,2018,8,23,76.79,2,3,1,"   171,000"
1979,2018,8,23,76.79,9,3,1,"   182,000"
1979,2018,8,24,76.79,3,3,1,"   168,000"
1979,2018,8,25,76.79,12,3,1,"   175,000"
1979,2018,8,28,76.79,13,3,1,"   176,000"
1979,2018,8,30,76.79,8,3,1,"   178,000"
1979,2018,9,1,76.79,7,3,1,"   180,000"
1979,2018,9,3,76.79,7,3,1,"   181,000"
1979,2018,9,3,76.79,6,3,1,"   180,000"
1979,2018,9,5,76.79,12,3,1,"   185,000"
1980,2018,9,5,76.79,13,3,1,"   185,000"
1979,2018,9,6,76.79,3,3,1,"   180,000"
1979,2018,9,7,76.79,14,3,1,"   181,000"
1980,2018,9,11,76.79,2,3,1,"   183,000"
1979,2018,10,3,76.79,6,3,1,"   175,000"
1980,2018,10,10,76.79,13,3,1,"   175,000"
1980,2018,10,29,76.79,7,3,1,"   175,500"
1979,2018,11,20,76.79,14,3,1,"   160,000"
1979,2019,1,14,76.79,10,3,1,"   156,800"
1979,2019,1,16,76.79,10,3,1,"   157,000"
1980,2019,1,24,76.79,1,3,1,"   140,000"
1980,2019,1,31,76.79,4,3,1,"   151,200"
